25/11/2017	21	29	31	32	34	46	38	4
23/11/2017	03	09	11	35	43	45	33	6
18/11/2017	03	07	12	29	31	44	46	5
16/11/2017	05	10	11	13	23	41	37	0
11/11/2017	06	08	22	24	43	45	11	1
9/11/2017	01	09	10	12	27	49	41	9
4/11/2017	19	25	27	42	47	48	24	8
2/11/2017	12	19	34	45	47	48	29	1
28/10/2017	03	17	21	35	37	38	18	5
26/10/2017	02	06	17	25	37	49	30	5
21/10/2017	05	06	17	22	34	40	35	7
19/10/2017	07	11	16	31	41	42	17	3
14/10/2017	16	23	26	35	45	47	19	5
12/10/2017	07	09	20	31	37	47	18	7
7/10/2017	01	20	23	41	45	47	22	4
5/10/2017	05	12	23	26	33	48	31	6
30/09/2017	04	06	31	33	35	42	46	1
28/09/2017	13	18	28	29	30	33	17	3
23/09/2017	09	15	18	23	37	41	43	7
21/09/2017	14	15	20	23	26	48	10	1
16/09/2017	01	05	07	10	25	44	04	6
14/09/2017	04	07	16	18	23	36	26	1
9/09/2017	01	10	20	21	37	44	23	9
7/09/2017	01	14	18	19	26	37	34	9
2/09/2017	01	04	18	37	40	49	03	9
31/08/2017	04	15	20	35	39	41	30	6
26/08/2017	07	19	23	28	42	49	16	4
24/08/2017	07	10	12	35	38	40	49	1
19/08/2017	02	17	35	37	43	48	34	7
17/08/2017	08	17	19	45	48	49	43	2
12/08/2017	09	17	19	25	29	46	40	7
10/08/2017	06	09	20	26	38	45	33	9
5/08/2017	06	10	17	26	44	49	21	3
3/08/2017	13	17	20	27	33	34	31	6
29/07/2017	20	23	35	43	44	47	16	5
27/07/2017	01	02	05	27	39	49	40	5
22/07/2017	18	21	27	37	38	40	20	1
20/07/2017	03	05	22	35	43	46	41	5
15/07/2017	11	23	32	42	46	47	08	1
13/07/2017	01	06	08	12	27	40	42	7
8/07/2017	03	16	21	25	26	39	48	3
6/07/2017	03	05	09	20	29	49	46	1
1/07/2017	12	22	26	27	30	31	29	2
29/06/2017	01	11	20	35	40	49	16	0
24/06/2017	11	14	21	30	39	40	29	7
22/06/2017	03	15	30	37	38	41	08	0
17/06/2017	03	13	16	21	28	43	24	2
15/06/2017	03	07	11	20	22	30	41	9
10/06/2017	18	19	22	29	35	45	04	8
8/06/2017	19	20	25	32	33	34	24	4
3/06/2017	09	12	13	22	23	43	40	9
1/06/2017	07	10	26	29	33	37	06	9
27/05/2017	18	25	26	29	30	39	44	5
25/05/2017	18	21	28	32	34	42	07	4
20/05/2017	10	24	25	31	32	36	48	9
18/05/2017	08	15	16	19	27	47	10	5
13/05/2017	03	09	28	29	41	42	06	5
11/05/2017	06	19	20	28	31	39	35	9
6/05/2017	01	22	26	27	31	34	28	3
4/05/2017	09	11	17	23	28	36	20	0
29/04/2017	03	12	22	24	35	46	26	2
27/04/2017	10	11	26	32	33	44	28	4
22/04/2017	01	11	16	26	45	47	41	4
20/04/2017	11	16	21	22	28	46	25	6
15/04/2017	06	14	24	30	35	48	04	0
13/04/2017	02	14	20	24	41	47	36	3
8/04/2017	03	19	40	44	47	48	24	1
6/04/2017	07	15	16	25	28	29	04	7
1/04/2017	06	08	18	22	26	36	13	9
30/03/2017	13	20	33	35	42	48	10	0
25/03/2017	07	11	35	36	37	40	08	7
23/03/2017	16	25	29	35	39	49	17	5
18/03/2017	03	05	14	21	28	43	23	6
16/03/2017	04	38	39	41	45	49	47	0
11/03/2017	01	22	28	37	39	43	44	0
9/03/2017	03	04	24	30	36	44	21	8
4/03/2017	08	17	25	26	38	48	04	2
2/03/2017	22	25	29	41	42	43	34	5
25/02/2017	02	09	13	27	36	48	28	9
23/02/2017	11	12	17	27	42	48	05	0
18/02/2017	05	15	19	21	29	39	43	1
16/02/2017	03	16	25	29	35	40	05	7
11/02/2017	04	22	36	40	43	47	05	4
9/02/2017	05	18	30	33	37	45	08	7
4/02/2017	08	26	31	32	39	42	18	5
2/02/2017	04	05	17	24	27	28	45	3
28/01/2017	08	10	22	24	35	47	14	3
26/01/2017	13	15	20	24	32	38	01	5
21/01/2017	04	09	15	29	37	45	01	2
19/01/2017	01	06	23	32	39	48	46	4
14/01/2017	02	03	06	10	25	43	42	7
12/01/2017	06	10	32	34	36	48	15	5
7/01/2017	12	28	32	33	36	49	23	5
5/01/2017	03	09	12	23	27	49	36	3
31/12/2016	02	03	14	29	36	40	46	2
29/12/2016	07	19	28	33	38	45	10	1
24/12/2016	26	29	31	34	36	40	49	9
22/12/2016	17	28	31	39	47	49	04	9
17/12/2016	11	18	31	34	35	45	32	4
15/12/2016	16	17	21	26	31	38	03	3
10/12/2016	09	15	25	37	47	49	40	6
8/12/2016	07	12	13	21	44	46	01	4
3/12/2016	03	05	08	13	21	43	46	8
1/12/2016	22	30	33	40	42	45	31	7
26/11/2016	03	14	15	19	20	28	47	4
24/11/2016	01	06	10	14	34	46	24	4
19/11/2016	06	14	15	39	46	48	41	0
17/11/2016	02	09	16	21	30	31	34	1
12/11/2016	05	22	26	33	47	48	04	0
10/11/2016	02	08	15	22	28	48	29	6
5/11/2016	04	07	14	30	46	49	29	8
3/11/2016	12	21	29	30	44	46	45	2
29/10/2016	04	14	16	26	38	47	22	8
27/10/2016	02	04	22	23	32	35	21	8
22/10/2016	12	13	15	31	32	43	06	8
20/10/2016	05	07	15	18	20	21	17	8
15/10/2016	01	22	27	42	43	49	08	2
13/10/2016	01	05	18	21	32	36	45	8
8/10/2016	04	09	20	29	41	49	24	2
6/10/2016	03	19	23	26	30	41	13	4
1/10/2016	02	07	16	20	35	42	10	6
29/09/2016	08	14	28	39	40	42	49	2
24/09/2016	04	09	21	42	45	48	27	8
22/09/2016	09	15	18	42	43	49	41	6
17/09/2016	08	14	20	22	28	32	45	2
15/09/2016	07	14	24	34	35	40	25	3
10/09/2016	24	28	34	38	39	44	06	2
8/09/2016	04	05	07	29	42	46	43	7
3/09/2016	04	14	30	31	34	44	20	5
1/09/2016	17	19	21	31	35	48	04	7
27/08/2016	06	09	14	32	36	45	10	4
25/08/2016	07	10	16	26	35	40	49	8
20/08/2016	02	11	17	26	34	40	22	0
18/08/2016	09	14	22	33	37	39	46	3
13/08/2016	10	13	24	33	40	45	32	3
11/08/2016	11	13	20	31	34	40	24	8
6/08/2016	12	17	30	39	43	47	32	2
4/08/2016	05	08	12	14	21	28	27	6
30/07/2016	11	24	28	30	32	34	25	5
28/07/2016	02	06	10	20	38	40	45	3
23/07/2016	06	11	12	25	36	46	20	2
21/07/2016	04	05	22	36	42	47	06	4
16/07/2016	12	16	28	32	43	45	19	2
14/07/2016	03	10	17	26	36	41	11	8
9/07/2016	04	05	37	40	41	45	13	6
7/07/2016	07	15	20	23	29	34	04	8
2/07/2016	04	14	15	16	18	40	30	7
30/06/2016	01	06	30	31	41	43	33	3
25/06/2016	06	19	21	22	34	37	16	3
23/06/2016	09	16	20	21	33	41	26	7
18/06/2016	02	10	14	16	27	44	24	8
16/06/2016	08	09	15	19	21	49	44	5
11/06/2016	17	26	36	37	38	46	20	3
9/06/2016	02	09	10	14	25	41	03	4
4/06/2016	01	11	14	16	20	41	10	1
2/06/2016	27	35	38	45	46	47	23	6
28/05/2016	20	28	30	36	41	46	02	1
26/05/2016	03	11	13	23	32	47	19	0
21/05/2016	07	10	13	15	35	38	39	4
19/05/2016	01	30	40	43	45	48	02	3
